covariate_set,lag_weeks,reference_date,horizon,target_end_date,observed,median,absolute_error,squared_error
NSSP only,4,2026-04-25,2,2026-05-09,1473,2710.5870336679013,1237.5870336679013,1531621.6659029152
NSSP only,4,2026-04-25,3,2026-05-16,1306,2983.0848247529793,1677.0848247529793,2812613.5094167315
NSSP only,4,2026-05-02,1,2026-05-09,1473,1714.536207339539,241.53620733953903,58339.73945596879
NSSP only,4,2026-05-02,2,2026-05-16,1306,1886.5550289705625,580.5550289705625,337044.14166301064
NSSP only,4,2026-05-02,3,2026-05-23,1250,2338.1842549082057,1088.1842549082057,1184144.9726301269
NSSP only,4,2026-05-09,1,2026-05-16,1306,1446.122867013326,140.12286701332596,19634.41786003423
NSSP only,4,2026-05-09,2,2026-05-23,1250,1852.8452115169603,602.8452115169603,363422.34904892853
NSSP only,4,2026-05-09,3,2026-05-30,1060,2346.3864425157876,1286.3864425157876,1654790.079488424
NSSP only,4,2026-05-16,1,2026-05-23,1250,1597.388620382374,347.38862038237403,120678.85357116917
NSSP only,4,2026-05-16,2,2026-05-30,1060,2065.0186637379275,1005.0186637379275,1010062.5144615693
NSSP only,4,2026-05-16,3,2026-06-06,1011,2583.480374094983,1572.4803740949828,2472694.526913897
NSSP only,5,2025-09-27,1,2025-10-04,976,1155.0706823046817,179.07068230468167,32066.30926106423
NSSP only,5,2025-09-27,2,2025-10-11,1016,1108.4413536576922,92.44135365769216,8545.403866066516
NSSP only,5,2025-09-27,3,2025-10-18,1119,983.2158488521578,135.78415114784218,18437.33570294005
NSSP only,5,2025-10-04,1,2025-10-11,1016,832.1538208480887,183.84617915191131,33799.41758875667
NSSP only,5,2025-10-04,2,2025-10-18,1119,674.306266657228,444.693733342772,197752.51647433243
NSSP only,5,2025-10-04,3,2025-10-25,1199,653.9412995766434,545.0587004233566,297088.98690719844
NSSP only,5,2025-10-11,1,2025-10-18,1119,957.3963939329728,161.60360606702716,26115.725493866896
NSSP only,5,2025-10-11,2,2025-10-25,1199,970.0568033334913,228.9431966665087,52414.98729987968
NSSP only,5,2025-10-11,3,2025-11-01,1358,883.9318760589213,474.06812394107874,224740.586137014
NSSP only,5,2025-10-18,1,2025-10-25,1199,1506.3648517483512,307.36485174835116,94473.15209028589
NSSP only,5,2025-10-18,2,2025-11-01,1358,1897.0843903039672,539.0843903039672,290611.97986940003
NSSP only,5,2025-10-18,3,2025-11-08,1787,2298.0180679003483,511.01806790034834,261139.46572060502
NSSP only,5,2025-10-25,1,2025-11-01,1358,1432.28033459558,74.28033459557992,5517.568107631307
NSSP only,5,2025-10-25,2,2025-11-08,1787,1781.422755014372,5.577244985628113,31.10566162971393
NSSP only,5,2025-10-25,3,2025-11-15,2487,2221.7832246450225,265.21677535497747,70339.93792969259
NSSP only,5,2025-11-01,1,2025-11-08,1787,1668.1155943555787,118.88440564442135,14133.501905427323
NSSP only,5,2025-11-01,2,2025-11-15,2487,2094.5321106481115,392.4678893518885,154031.04417232622
NSSP only,5,2025-11-01,3,2025-11-22,3584,2473.701678553823,1110.298321446177,1232762.362606198
NSSP only,5,2025-11-08,1,2025-11-15,2487,2000.0013233919228,486.9986766080772,237167.71101801854
NSSP only,5,2025-11-08,2,2025-11-22,3584,1961.6459648736013,1622.3540351263987,2632032.615290908
NSSP only,5,2025-11-08,3,2025-11-29,5220,1718.6277655125768,3501.372234487423,12259607.52443945
NSSP only,5,2025-11-15,1,2025-11-22,3584,2712.3568835160345,871.6431164839655,759761.7225138799
NSSP only,5,2025-11-15,2,2025-11-29,5220,2558.5571546500596,2661.4428453499404,7083278.019064386
NSSP only,5,2025-11-15,3,2025-12-06,7449,2366.378478141158,5082.621521858842,25833041.534462694
NSSP only,5,2025-11-22,1,2025-11-29,5220,4188.174776061488,1031.825223938512,1064663.2927557603
NSSP only,5,2025-11-22,2,2025-12-06,7449,4575.714506634833,2873.285493365167,8255769.526382711
NSSP only,5,2025-11-22,3,2025-12-13,11156,4701.775540384065,6454.224459615935,41657013.37510461
NSSP only,5,2025-11-29,1,2025-12-06,7449,5903.9094697484,1545.0905302516003,2387304.7466731714
NSSP only,5,2025-11-29,2,2025-12-13,11156,5816.164893828721,5339.835106171279,28513838.961099237
NSSP only,5,2025-11-29,3,2025-12-20,21083,5330.374881959922,15752.625118040078,248145198.10950717
NSSP only,5,2025-12-06,1,2025-12-13,11156,8206.683895945856,2949.3161040541436,8698465.481633112
NSSP only,5,2025-12-06,2,2025-12-20,21083,8013.596379690296,13069.403620309704,170809310.9905644
NSSP only,5,2025-12-06,3,2025-12-27,37602,7427.934837662912,30174.065162337087,910474208.4209646
NSSP only,5,2025-12-13,1,2025-12-20,21083,12592.393060309014,8490.606939690986,72090406.20432873
NSSP only,5,2025-12-13,2,2025-12-27,37602,12585.280517464767,25016.719482535234,625836253.667858
NSSP only,5,2025-12-13,3,2026-01-03,42634,11602.138602622386,31031.861397377616,962976421.786055
NSSP only,5,2025-12-20,1,2025-12-27,37602,25982.83995993868,11619.16004006132,135004880.0365578
NSSP only,5,2025-12-20,2,2026-01-03,42634,26882.79421799242,15751.205782007579,248100483.587149
NSSP only,5,2025-12-20,3,2026-01-10,29933,24335.977039551293,5597.022960448707,31326666.019790005
NSSP only,5,2025-12-27,1,2026-01-03,42634,46601.863326855666,3967.863326855666,15743939.380606113
NSSP only,5,2025-12-27,2,2026-01-10,29933,48129.779738534075,18196.779738534075,331122792.8527242
NSSP only,5,2025-12-27,3,2026-01-17,19754,45236.551463797776,25482.551463797776,649360429.1051022
NSSP only,5,2026-01-03,1,2026-01-10,29933,41383.157254911486,11450.157254911486,131106101.16220213
NSSP only,5,2026-01-03,2,2026-01-17,19754,37314.68631195226,17560.68631195226,308377703.7467875
NSSP only,5,2026-01-03,3,2026-01-24,16819,36045.38656428069,19226.386564280692,369653940.31915313
NSSP only,5,2026-01-10,1,2026-01-17,19754,17167.326633640834,2586.673366359166,6690879.10423186
NSSP only,5,2026-01-10,2,2026-01-24,16819,12703.394681926424,4115.605318073576,16938207.1341555
NSSP only,5,2026-01-10,3,2026-01-31,15751,15921.648535675671,170.64853567567116,29120.92272825081
