reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.75,12290
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.8,13543
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.85,15004
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.9,16842
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.95,19566
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.975,21929
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.99,24677
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.01,0
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.025,0
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.05,0
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.1,0
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.15,0
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.2,79
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.25,587
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.3,1043
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.35,1466
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.4,1867
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.45,2255
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.5,2637
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.55,3019
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.6,3407
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.65,3808
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.7,4231
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.75,4687
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.8,5195
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.85,5787
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.9,6532
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.95,7636
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.975,8594
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.99,9708
2025-10-18,wk inc flu hosp,2,2025-11-01,US,quantile,0.01,0
2025-10-18,wk inc flu hosp,2,2025-11-01,US,quantile,0.025,0
2025-10-18,wk inc flu hosp,2,2025-11-01,US,quantile,0.05,0
2025-10-18,wk inc flu hosp,2,2025-11-01,US,quantile,0.1,0
2025-10-18,wk inc flu hosp,2,2025-11-01,US,quantile,0.15,0
2025-10-18,wk inc flu hosp,2,2025-11-01,US,quantile,0.2,455
2025-10-18,wk inc flu hosp,2,2025-11-01,US,quantile,0.25,1403
2025-10-18,wk inc flu hosp,2,2025-11-01,US,quantile,0.3,2254
2025-10-18,wk inc flu hosp,2,2025-11-01,US,quantile,0.35,3042
2025-10-18,wk inc flu hosp,2,2025-11-01,US,quantile,0.4,3790
2025-10-18,wk inc flu hosp,2,2025-11-01,US,quantile,0.45,4514
2025-10-18,wk inc flu hosp,2,2025-11-01,US,quantile,0.5,5226
2025-10-18,wk inc flu hosp,2,2025-11-01,US,quantile,0.55,5939
2025-10-18,wk inc flu hosp,2,2025-11-01,US,quantile,0.6,6663
2025-10-18,wk inc flu hosp,2,2025-11-01,US,quantile,0.65,7411
2025-10-18,wk inc flu hosp,2,2025-11-01,US,quantile,0.7,8199
2025-10-18,wk inc flu hosp,2,2025-11-01,US,quantile,0.75,9050
2025-10-18,wk inc flu hosp,2,2025-11-01,US,quantile,0.8,9997
2025-10-18,wk inc flu hosp,2,2025-11-01,US,quantile,0.85,11102
2025-10-18,wk inc flu hosp,2,2025-11-01,US,quantile,0.9,12491
2025-10-18,wk inc flu hosp,2,2025-11-01,US,quantile,0.95,14551
2025-10-18,wk inc flu hosp,2,2025-11-01,US,quantile,0.975,16337
2025-10-18,wk inc flu hosp,2,2025-11-01,US,quantile,0.99,18414
2025-10-18,wk inc flu hosp,3,2025-11-08,US,quantile,0.01,0
2025-10-18,wk inc flu hosp,3,2025-11-08,US,quantile,0.025,0
2025-10-18,wk inc flu hosp,3,2025-11-08,US,quantile,0.05,0
2025-10-18,wk inc flu hosp,3,2025-11-08,US,quantile,0.1,0
2025-10-18,wk inc flu hosp,3,2025-11-08,US,quantile,0.15,446
2025-10-18,wk inc flu hosp,3,2025-11-08,US,quantile,0.2,1897
2025-10-18,wk inc flu hosp,3,2025-11-08,US,quantile,0.25,3141
2025-10-18,wk inc flu hosp,3,2025-11-08,US,quantile,0.3,4259
2025-10-18,wk inc flu hosp,3,2025-11-08,US,quantile,0.35,5294
2025-10-18,wk inc flu hosp,3,2025-11-08,US,quantile,0.4,6277
2025-10-18,wk inc flu hosp,3,2025-11-08,US,quantile,0.45,7227
2025-10-18,wk inc flu hosp,3,2025-11-08,US,quantile,0.5,8163
2025-10-18,wk inc flu hosp,3,2025-11-08,US,quantile,0.55,9098
2025-10-18,wk inc flu hosp,3,2025-11-08,US,quantile,0.6,10049
2025-10-18,wk inc flu hosp,3,2025-11-08,US,quantile,0.65,11032
2025-10-18,wk inc flu hosp,3,2025-11-08,US,quantile,0.7,12067
2025-10-18,wk inc flu hosp,3,2025-11-08,US,quantile,0.75,13185
2025-10-18,wk inc flu hosp,3,2025-11-08,US,quantile,0.8,14429
2025-10-18,wk inc flu hosp,3,2025-11-08,US,quantile,0.85,15879
2025-10-18,wk inc flu hosp,3,2025-11-08,US,quantile,0.9,17704
2025-10-18,wk inc flu hosp,3,2025-11-08,US,quantile,0.95,20409
2025-10-18,wk inc flu hosp,3,2025-11-08,US,quantile,0.975,22755
2025-10-18,wk inc flu hosp,3,2025-11-08,US,quantile,0.99,25483
2025-10-25,wk inc flu hosp,1,2025-11-01,US,quantile,0.01,0
2025-10-25,wk inc flu hosp,1,2025-11-01,US,quantile,0.025,0
2025-10-25,wk inc flu hosp,1,2025-11-01,US,quantile,0.05,0
2025-10-25,wk inc flu hosp,1,2025-11-01,US,quantile,0.1,0
2025-10-25,wk inc flu hosp,1,2025-11-01,US,quantile,0.15,0
2025-10-25,wk inc flu hosp,1,2025-11-01,US,quantile,0.2,358
2025-10-25,wk inc flu hosp,1,2025-11-01,US,quantile,0.25,862
2025-10-25,wk inc flu hosp,1,2025-11-01,US,quantile,0.3,1315
2025-10-25,wk inc flu hosp,1,2025-11-01,US,quantile,0.35,1734
2025-10-25,wk inc flu hosp,1,2025-11-01,US,quantile,0.4,2132
2025-10-25,wk inc flu hosp,1,2025-11-01,US,quantile,0.45,2517
2025-10-25,wk inc flu hosp,1,2025-11-01,US,quantile,0.5,2896
2025-10-25,wk inc flu hosp,1,2025-11-01,US,quantile,0.55,3275
2025-10-25,wk inc flu hosp,1,2025-11-01,US,quantile,0.6,3660
2025-10-25,wk inc flu hosp,1,2025-11-01,US,quantile,0.65,4058
2025-10-25,wk inc flu hosp,1,2025-11-01,US,quantile,0.7,4477
2025-10-25,wk inc flu hosp,1,2025-11-01,US,quantile,0.75,4930
2025-10-25,wk inc flu hosp,1,2025-11-01,US,quantile,0.8,5434
2025-10-25,wk inc flu hosp,1,2025-11-01,US,quantile,0.85,6021
2025-10-25,wk inc flu hosp,1,2025-11-01,US,quantile,0.9,6760
2025-10-25,wk inc flu hosp,1,2025-11-01,US,quantile,0.95,7856
2025-10-25,wk inc flu hosp,1,2025-11-01,US,quantile,0.975,8806
2025-10-25,wk inc flu hosp,1,2025-11-01,US,quantile,0.99,9911
2025-10-25,wk inc flu hosp,2,2025-11-08,US,quantile,0.01,0
2025-10-25,wk inc flu hosp,2,2025-11-08,US,quantile,0.025,0
2025-10-25,wk inc flu hosp,2,2025-11-08,US,quantile,0.05,0
2025-10-25,wk inc flu hosp,2,2025-11-08,US,quantile,0.1,0
2025-10-25,wk inc flu hosp,2,2025-11-08,US,quantile,0.15,0
2025-10-25,wk inc flu hosp,2,2025-11-08,US,quantile,0.2,961
2025-10-25,wk inc flu hosp,2,2025-11-08,US,quantile,0.25,1902
2025-10-25,wk inc flu hosp,2,2025-11-08,US,quantile,0.3,2747
2025-10-25,wk inc flu hosp,2,2025-11-08,US,quantile,0.35,3530
2025-10-25,wk inc flu hosp,2,2025-11-08,US,quantile,0.4,4273
2025-10-25,wk inc flu hosp,2,2025-11-08,US,quantile,0.45,4992
2025-10-25,wk inc flu hosp,2,2025-11-08,US,quantile,0.5,5700
2025-10-25,wk inc flu hosp,2,2025-11-08,US,quantile,0.55,6407
2025-10-25,wk inc flu hosp,2,2025-11-08,US,quantile,0.6,7126
2025-10-25,wk inc flu hosp,2,2025-11-08,US,quantile,0.65,7869
2025-10-25,wk inc flu hosp,2,2025-11-08,US,quantile,0.7,8652
2025-10-25,wk inc flu hosp,2,2025-11-08,US,quantile,0.75,9497
2025-10-25,wk inc flu hosp,2,2025-11-08,US,quantile,0.8,10438
2025-10-25,wk inc flu hosp,2,2025-11-08,US,quantile,0.85,11535
2025-10-25,wk inc flu hosp,2,2025-11-08,US,quantile,0.9,12915
2025-10-25,wk inc flu hosp,2,2025-11-08,US,quantile,0.95,14961
2025-10-25,wk inc flu hosp,2,2025-11-08,US,quantile,0.975,16735
