reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.025,7606
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.05,10149
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.1,13082
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.15,15060
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.2,16633
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.25,17982
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.3,19193
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.35,20316
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.4,21381
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.45,22412
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.5,23426
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.55,24441
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.6,25471
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.65,26536
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.7,27659
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.75,28871
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.8,30220
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.85,31792
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.9,33771
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.95,36703
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.975,39247
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.99,42204
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.01,8256
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.025,9429
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.05,10437
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.1,11599
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.15,12383
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.2,13007
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.25,13542
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.3,14022
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.35,14467
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.4,14889
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.45,15298
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.5,15700
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.55,16102
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.6,16510
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.65,16933
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.7,17378
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.75,17858
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.8,18392
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.85,19016
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.9,19800
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.95,20963
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.975,21971
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.99,23143
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.01,3329
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.025,5628
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.05,7606
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.1,9886
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.15,11425
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.2,12647
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.25,13696
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.3,14638
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.35,15511
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.4,16340
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.45,17141
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.5,17930
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.55,18718
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.6,19520
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.65,20348
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.7,21221
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.75,22163
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.8,23212
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.85,24435
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.9,25973
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.95,28254
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.975,30231
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.99,32531
2026-02-21,wk inc flu hosp,3,2026-03-14,US,quantile,0.01,869
2026-02-21,wk inc flu hosp,3,2026-03-14,US,quantile,0.025,3829
2026-02-21,wk inc flu hosp,3,2026-03-14,US,quantile,0.05,6376
2026-02-21,wk inc flu hosp,3,2026-03-14,US,quantile,0.1,9311
2026-02-21,wk inc flu hosp,3,2026-03-14,US,quantile,0.15,11292
2026-02-21,wk inc flu hosp,3,2026-03-14,US,quantile,0.2,12866
2026-02-21,wk inc flu hosp,3,2026-03-14,US,quantile,0.25,14217
2026-02-21,wk inc flu hosp,3,2026-03-14,US,quantile,0.3,15430
2026-02-21,wk inc flu hosp,3,2026-03-14,US,quantile,0.35,16554
